 ,"Document Name 
(title_location_year published)",Date Published,Resource Type,Organization,Copyright,"Geographical Area -
NATIONAL","Geographical Area -
PROVINCIAL / STATE","Geographical Area -
REGIONAL",Forest Type,BEC Zone,Practice,Value,Technique,Technique 2,Research Forest,BECZone_Subzone_variant,Tree Species,Wildlife Species,Habitat,Equipment,Forest Products,Tenure,Zonation,Stand Development,Disturbance Type,Notes,Is the document uploaded to Google Drive?
Harvesting Systems and Equipment in British Columbia - Part 1: Equipment Selection,Harvesting Systems and Equipment - Part 1_BC_1999,1999,Guidance document (includes handbooks),Forest Engineering Research Institute of Canada (FERIC),,Canada,British Columbia,,All (since this can be applied to any forest in BC),All (since this can be applied to any forest in BC),"Harvest

Intervention

","Timber 

Economic

","Variable retention

Thinning

Pre-commercial thinning

Commercial thinning

",,,,,,,"Primary transport equipment

Mechanical falling equipment

Processing equipment

Loading equipment",,,,"Site productivity 

",,"This document outlines the key factors to consider when selecting harvesting equipment

",Yes
Harvesting Systems and Equipment in British Columbia - Part 2: Primary Transport Equipment,Harvesting Systems and Equipment - Part 2.1_BC_1999,1999,Guidance document (includes handbooks),Forest Engineering Research Institute of Canada (FERIC),,Canada,British Columbia,,All (since this can be applied to any forest in BC),All (since this can be applied to any forest in BC),"Harvest

Intervention (aka stand tending)

","TImber (?)

Economic","Variable retention

Thinning

Pre-commercial thinning

Commercial thinning

",,,,,,,"Primary transport equipment

Mechanical falling equipment

Processing equipment

Loading equipment

Ground-based equipment

Cable equipment

Aerial systems

Mechanical falling equipment

Mechanical processing",,,,"Site productivity 

",,"There are two additional documents that are a part of Harvesting Systems and Equipment in British Columbia - Part 2: Primary Transport Equipment. 

Is it possible to have multiple parts (documents) within a single entry on the KH?

See:

All parts: https://www.for.gov.bc.ca/hfd/pubs/docs/sil/sil468.htm

Part ""3"" https://www.for.gov.bc.ca/hfd/pubs/Docs/Sil/Sil468-2-2.pdf

Part ""4"" https://www.for.gov.bc.ca/hfd/pubs/Docs/Sil/Sil468-3.pdf",Yes
"Roberts Creek Study Forest: Harvesting, windthrow, and conifer regeneration within alternative silviculture systems in Douglas-fir dominated forests on the Sunshine Coast",Alternative Silviculture Systems in DF Forests_Roberts Creek Study Forest - Sunshine Coast_2002,2002,Technical report,BC Ministry of Forests,,Canada,British Columbia,"Roberts Creek

Sunshine Coast","Coastal forests 

","CWH
Coastal western hemlock","Harvest

Reforestation

Intervention 

Adaptive management

","Forest health

Ecosystem health

","Variable retention

Thinning

Pre-commercial thinning

Monitoring

Regeneration cut

Planting",,Roberts Creek research forest,"CWH_dm 
","Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata",,,,,Area-based,,"Site productivity

Natural disturbances

Structure",Windthrow,,Yes
Comparing Clearcutting and Alternatives in a High-Elevation Forest: Early Results from Sicamous Creek,Comparing Clearcutting and Alternatives_Sicamous Creek - Southern BC Interior_2002,2002,Extension note,BC Forest Service,,Canada,"British Columbia

Southern Interior BC","Shuswap
Shuswap - Sicamous ",Montane and subalpine forest,"ESSF
Engelmann spruce subalpine fir ",Harvest,"Economic

Hydrology

Ecosystem health

Timber

","Monitoring

Patch cutting

Planting",,,"ESSF_wc_2
","Bl
Subalpine fir
Abies lasiocarpa

Se
Engelmann spruce
Picea engelmannii",,,,,,,"Natural disturbances

Growth

Structure","Bark beetle

Windthrow",,Yes
Forest Carbon and Management Options in an Uncertain Climate,Forest Carbon and Management Options_BC_2012,2012,Estension note ,Forest Research Extension Partnership (FORREX),,Canada,British Columbia,,All (since this can be applied to any forest in BC),All (since this can be applied to any forest in BC),"Harvest

Reforestation

Site preperation

Intervention ","Carbon

Forest health

Climate change resilience



","Variable retention

Planting

Thinning

Fertilizing

Waste management

Brushing",,,,,,,,,,,"Site productivity

Stand age

Size class distribution

Natual disturbances",,,Yes
Natural regeneration of lodgepole pine following partial harvesting on northern caribou winter range in west-central British Columbia,Regeneration of Pl Following PH_Western Chilcotin Region_2007,2007,"Peer-reviewed literature

Case study (or research report)",BC Ministry of Forests,,Canada,British Columbia,Chilcotin (western),"Sub-boreal forests

Montane and subalpine forests","SBPS
Sub-boreal pine spruce

MS
Montane spruce","Harvest

Reforestation

Adaptive management","Wildlife

Forest health

","Variable retention

Monitoring",,,"SBPS_xc

MS_xv
","Pl
Lodgepole pine
Pinus contorta","Caribou

",,,,,"UWR
Ungulate winter range","Site productivity

Stand age

Size class distribution",Mountain pine beetle,,Yes
Southern Interior Forest Region: Forest Health Stand Establishment Decision Aids,Forest Health Stand Establishment Decision Aids_Southern Interior Forest Region_2005,2005,Decision aid,Forest Research Extension Partnership (FORREX),,Canada,"British Columbia

Southern Interior BC",,"Montane and subalpine forests

Dry interior forests

Sub-boreal forests","ESSF
Engalmann spruce sub-alpine fir

ICH
Interior cedar hemlock

IDF
Interior douglas fir

MS
Montane spruce

PP
Ponderosa pine

SBS
Sub-boreal spruce","Harvest

Reforestation

Intervention (aka stand tending)

Adaptive management","Forest health

Ecosystem health

","Variable retention

Planting

Thinning

Monitoring",,,,"Pl
Lodgepole pine
Pinus contorta

Fd
Douglas fir
Pseudotsuga menziesii

At
Trembling aspen
Populus tremuloides

Hw
Western hemlock
Tsuga heterophylla

Hm
Mountain hemlock
Tsuga mertensiana

Pw
Western white pine
Pinus monticola

Py
Ponderosa pine
Pinus ponderosa

Cw
Western redcedar 
Thuja plicata

Lw
Western larch
Larix occidentalis

Se
Engelmann spruce
Picea engelmannii",,,,,,,"Site productivity 

Silvics

Stand age

Competition

Natural distrubances","Western spruce budworm

Western hemlock looper

Black army cutworm",,Yes
"Successional Responses to Natural Disturbance, Forest Management, and Climate Change in British Columbia's Forests","Successional Responses to Natural Disaster, Forest Management, Climate Change_BC_2012",2012,Extension note,Forest Research Extension Partnership (FORREX),,Canada,British Columbia,,"Sub-boreal forests

Coastal forests

Boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests








","CWH
Coastal western hemlock

CDF
Coastal douglas fir

IDF
Interior douglas fir

MS
Montane spruce

ICH
Interior cedar hemlock

ESSF
Engalmann spruce subalpine fir

SBPS
Sub-boreal pine spruce





","Harvest

Intervention

Waste/biomass/fuel management

Reforestation

","Wildfire risk

Climate change resilience

Forest health

Ecosystem health","Variable retention

Thinning

Pre-commercial thinning

Fuel management

Planting




",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Ba
Amabilis fir
Abies amabilis

Dr
Red alder
Alnus rubra

Py
Ponderosa pine
Pinus ponderosa

Sx
Hybrid spruce
Picea engelmannii x glauca (interior) & 
Picea glauca x sitchensis (coastal)

Pl
Lodgepole pine
Pinus contorta

Pw
Western white pine
Pinus monticola

EP
Paper birch
Betula papyrifera

Se
Engelmann spruce
Picea engelmannii

Sb
Black spruce
Picea mariana

Act
Black cottonwood
Populus trichocarpa

Acb
Balsam poplar
Populus balsmifera

Sw
White spruce
Picea glauca", ,,,,,,Natural disturbances,"Fire

Bark beetle

Root rot 

Dwarf mistletoe

Mountain pine beetle

Western hemlock looper

Windthrow

Western spruce budworm

",,
Assisted Migration: Adapting Forest Management to a Changing Climate,Assisted Migration - Adapting Forest Management to Changing Climate_BC_2011,2011,Peer-reviewed literature (incl. discussion papers),Forest Research Extension Partnership (FORREX),,Canada,Britsh Columbia,,Wet interior forests,"ICH
Interior cedar hemlock","Reforestation

Intervention

Adaptive management","Forest health

Ecosystem health

Climate change resilience","Planting

Monitoring

Models",,,,,,,,,,,"Genetic worth

Competition

Natural disturbances

","Fire

","General insect outbreak is listed as a disturbance. Do we want to have a general tag in disturbances called ""insects""?",
Management Strategy for Mule Deer Winter Ranges in the Cariboo-Chilcotin Part 1b: Management Plan for Transition and Deep Snowpack Zones,Management Strategy for Mule Deer Winter Ranges_Cariboo-Chilcotin_2006,2006,Guidance documet (incl. management plans),BC Ministry of Forests,,Canada,Britsh Columbia,Cariboo,Dry interior forests,"SBPS
Sub-boreal pine spruce

IDF 
Interior douglas fir

SBS
Sub-boreal spruce

MS
Montane spruce","Harvest

Intervention

","Forest health

Wildlife

Timber","Pre-commercial thinning

Thinning

Varibale retention

Regeneration cut

Removal cut

",,,"IDF_dk_3,4

SBP_sxc

MS_xk

SBPS_dw_1,2

SBP_smk

SBP_sdc

MS_xv

SBPS_mh

IDF_mw_2

SBPS_wk

SBPS_mc

SBPS_mw

","Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

Cw
Western redcedar 
Thuja plicata",Mule deer,,,,,"OGMA 
Old growth management area

UWR
Ungulate winter range","Stand age

Structure

Natural disturbances","Bark beetle

Windthrow",,
