ckan_tag,ckan_key,status,Action Needed
alpine tundra,alpine tundra,Normalized match,
amabilis fir,amabilis fir,Normalized match,
arbutus,arbutus,Normalized match,
balsam fir,balsam fir,Normalized match,
balsam poplar,balsam poplar,Normalized match,
bigleaf maple,bigleaf maple,Normalized match,
black cottonwood,black cottonwood,Normalized match,
black spruce,black spruce,Normalized match,
boreal white and black spruce,boreal white and black spruce,Normalized match,
bunchgrass,bunchgrass,Normalized match,
Case Study,case study,Normalized match,
coastal douglas fir,coastal douglas fir,Normalized match,
coastal western hemlock,coastal western hemlock,Normalized match,
Community of Practice,community of practice,Normalized match,
Decision Aid,decision aid,Normalized match,
Discussion Paper,discussion paper,Normalized match,
engelmann spruce,engelmann spruce,Normalized match,
engelmann spruce subalpine fir,engelmann spruce subalpine fir,Normalized match,
Ep,ep,Normalized match,
Extension Note,extension note,Normalized match,
Field Photos,field photos,Normalized match,
garry oak,garry oak,Normalized match,
grand fir,grand fir,Normalized match,
Guidance Document,guidance document,Normalized match,
hybrid spruce,hybrid spruce,Normalized match,
interior cedar hemlock,interior cedar hemlock,Normalized match,
interior douglas fir,interior douglas fir,Normalized match,
interior spruce,interior spruce,Normalized match,
jack pine,jack pine,Normalized match,
lodgepole pine,lodgepole pine,Normalized match,
Magazine Article,magazine article,Normalized match,
montane hemlock,montane hemlock,Normalized match,
montane spruce,montane spruce,Normalized match,
mountain hemlock,mountain hemlock,Normalized match,
Non-timber forest product,non-timber forest product,Normalized match,
paper birch,paper birch,Normalized match,
Peer-Reviewed Literature,peer-reviewed literature,Normalized match,
ponderosa pine,ponderosa pine,Normalized match,
Presentation Slides,presentation slides,Normalized match,
red alder,red alder,Normalized match,
sitka spruce,sitka spruce,Normalized match,
spruce willow birch,spruce willow birch,Normalized match,
sub-boreal pine-spruce,sub-boreal pine-spruce,Normalized match,
sub-boreal spruce,sub-boreal spruce,Normalized match,
subalpine fir,subalpine fir,Normalized match,
Technical Report,technical report,Normalized match,
Tree farm license,tree farm license,Normalized match,
trembling aspen,trembling aspen,Normalized match,
western hemlock,western hemlock,Normalized match,
western larch,western larch,Normalized match,
western redcedar,western redcedar,Normalized match,
western white pine,western white pine,Normalized match,
white spruce,white spruce,Normalized match,
whitebark pine,whitebark pine,Normalized match,
yellow cedar,yellow cedar,Normalized match,
Dispersed retention,dispersed retention,Missing from controlled,"Correct all resource tags on SIPex to  ""Dispersed cut"""
Group retention,group retention,Missing from controlled,"Correct all resource tags on SIPex to  ""Group cut"""
interior cedar hemlcok,interior cedar hemlcok,Missing from controlled,"Correct all resource tags on SIPex to  ""interior cedar hemlock"""
Other Canadian Provinces Territories,other canadian provinces territories,Missing from controlled,"Correct all resource tags on SIPex to  ""Other Canadian Provinces or Territories"""
Patch retention,patch retention,Missing from controlled,"Correct all resource tags on SIPex to  ""Patch cut"""
Populus balsmifera,populus balsmifera,Missing from controlled,"Correct all resource tags on SIPex to  ""Populus balsamifera"""
South Interior BC,south interior bc,Missing from controlled,"Correct all resource tags on SIPex to  ""Southern Interior BC"""
Spruce weevil,spruce weevil,Missing from controlled,"Correct all resource tags on SIPex to  ""Spruce leader weevil"""
Abies amabilis,abies amabilis,Exact match,
Abies balsamea,abies balsamea,Exact match,
Abies grandis,abies grandis,Exact match,
Abies lasiocarpa,abies lasiocarpa,Exact match,
Acb,acb,Exact match,
Acer macrophyllum,acer macrophyllum,Exact match,
Act,act,Exact match,
Adaptive management,adaptive management,Exact match,
Aerial systems,aerial systems,Exact match,
Alberta,alberta,Exact match,
All forest types,all forest types,Exact match,
Alnus rubra,alnus rubra,Exact match,
Arbutus menziesii,arbutus menziesii,Exact match,
Area-based,area-based,Exact match,
Arizona,arizona,Exact match,
Aspen leaf miner,aspen leaf miner,Exact match,
At,at,Exact match,
Avalanche,avalanche,Exact match,
Ba,ba,Exact match,
Bark beetle,bark beetle,Exact match,
Beaver,beaver,Exact match,
Betula papyrifera,betula papyrifera,Exact match,
BG,bg,Exact match,
BGxh2,bgxh2,Exact match,
Bighorn sheep,bighorn sheep,Exact match,
Biochar,biochar,Exact match,
Biomass,biomass,Exact match,
Bl,bl,Exact match,
Black army cutworm,black army cutworm,Exact match,
Blacktail deer,blacktail deer,Exact match,
Blister rust,blister rust,Exact match,
Boreal forests,boreal forests,Exact match,
British Columbia,british columbia,Exact match,
Brushing,brushing,Exact match,
BWBS,bwbs,Exact match,
BWBSdk,bwbsdk,Exact match,
BWBSmk,bwbsmk,Exact match,
BWBSmw,bwbsmw,Exact match,
BWBSmw2,bwbsmw2,Exact match,
Cable equipment,cable equipment,Exact match,
California,california,Exact match,
Canada,canada,Exact match,
Carabid beetle,carabid beetle,Exact match,
Carbon,carbon,Exact match,
Caribou,caribou,Exact match,
Cattle,cattle,Exact match,
CDF,cdf,Exact match,
CDFmm,cdfmm,Exact match,
Central AB,central ab,Exact match,
Central BC,central bc,Exact match,
Central Coast BC,central coast bc,Exact match,
Central Interior BC,central interior bc,Exact match,
Central Island BC,central island bc,Exact match,
Chinook salmon,chinook salmon,Exact match,
Clearcut system,clearcut system,Exact match,
Climate change resilience,climate change resilience,Exact match,
Coastal BC,coastal bc,Exact match,
Coastal forests,coastal forests,Exact match,
Colorado,colorado,Exact match,
Commercial thinning,commercial thinning,Exact match,
Community forest,community forest,Exact match,
Community of practice,community of practice,Exact match,
Competition,competition,Exact match,
Coniferous,coniferous,Exact match,
Coppice system,coppice system,Exact match,
Cultural,cultural,Exact match,
Cultural fire,cultural fire,Exact match,
Cupressus nootkatensis,cupressus nootkatensis,Exact match,
Cw,cw,Exact match,
CWH,cwh,Exact match,
CWHdm,cwhdm,Exact match,
CWHds,cwhds,Exact match,
CWHds1,cwhds1,Exact match,
CWHds2,cwhds2,Exact match,
CWHmm,cwhmm,Exact match,
CWHmm1,cwhmm1,Exact match,
CWHmm2,cwhmm2,Exact match,
CWHms,cwhms,Exact match,
CWHvh,cwhvh,Exact match,
CWHvh2,cwhvh2,Exact match,
CWHvm,cwhvm,Exact match,
CWHvm1,cwhvm1,Exact match,
CWHvm2,cwhvm2,Exact match,
CWHwm,cwhwm,Exact match,
CWHws,cwhws,Exact match,
CWHxm,cwhxm,Exact match,
CWHxm1,cwhxm1,Exact match,
CWHxm2,cwhxm2,Exact match,
Decay fungi,decay fungi,Exact match,
Deciduous,deciduous,Exact match,
Douglas-fir,douglas-fir,Exact match,
Douglas-fir beetle,douglas-fir beetle,Exact match,
Douglas-fir tussock moth,douglas-fir tussock moth,Exact match,
Dr,dr,Exact match,
Drought,drought,Exact match,
Dry interior forests,dry interior forests,Exact match,
